ward,address,assault,injury,burglary,dnsty,owner,elder,single,manag,retail,high,nhmem,commt,detach
êÁë„ìc,äOê_ìc6,0,1,0,0.006170265,0.424050633,0.186708861,0.582278481,0.068249258,0.04057535,0.291139241,1.78481,0.703264095,0.259493671
êÁë„ìc,äOê_ìc5,1,0,0,0.004756034,0.815602837,0.226950355,0.475177305,0.093567251,0.050359991,0.212765957,2.12766,0.514619883,0.468085106
êÁë„ìc,äOê_ìc2,0,0,0,0.005405386,0.47845805,0.160997732,0.551020408,0.077464789,0.008800605,0.412698413,1.736961,0.751173709,0.197278912
êÁë„ìc,äOê_ìc3,2,1,0,0.003450913,0.6375,0.291666667,0.341666667,0.109215017,0.211512187,0.116666667,2.229167,0.672354949,0.416666667
êÁë„ìc,äOê_ìc4,7,2,0,0.006196311,0.643340858,0.128668172,0.514672686,0.089912281,0.112652574,0.781038375,1.844244,0.717105263,0.133182844
êÁë„ìc,î—ìcã¥3,0,0,0,0.00150338,0.304347826,0.130434783,0.298913043,0.04109589,0.011201813,0.701086957,2.255435,0.666666667,0.114130435
êÁë„ìc,éOçËí¨3,1,0,0,0.00278388,0.264900662,0.152317881,0.543046358,0.109589041,0.012555113,0.483443709,1.715232,0.595890411,0.125827815
êÁë„ìc,éOçËí¨2,3,2,0,0.002682229,0.382608696,0.282608696,0.439130435,0.046218487,0.027230457,0,2.1,0.550420168,0.234782609
êÁë„ìc,î—ìcã¥4,5,6,0,0.005136733,0.512096774,0.221774194,0.540322581,0.097345133,0.026760724,0.737903226,1.78629,0.707964602,0.088709677
êÁë„ìc,éOçËí¨1,0,0,0,0.000436226,0.583333333,0.333333333,0.416666667,0.05,0.029663364,0,2.25,0.75,0.166666667
êÁë„ìc,ê_ìcèxâÕë‰2,10,0,0,0.00193266,0.081632653,0.06122449,0.902040816,0.041841004,0.036176236,0.640816327,1.155102,0.912133891,0.053061224
êÁë„ìc,ê_ìcó˚ïªí¨,0,0,0,0.004430957,0.447368421,0.111842105,0.552631579,0.057142857,0.010756732,0.881578947,1.664474,0.664285714,0.078947368
êÁë„ìc,ê_ìcèºâií¨,1,0,0,0.001567759,0.807692308,0.230769231,0.307692308,0.033333333,0.036118759,0,2.692308,0.633333333,0.730769231
êÁë„ìc,ïxémå©2,0,0,0,0.005316515,0.397600686,0.091688089,0.589545844,0.067361668,0.010150124,0.69151671,1.700943,0.851643945,0.04798629
êÁë„ìc,ê_ìcâéäyí¨2,2,0,0,0.007440344,0.336601307,0.071895425,0.702614379,0.063694268,0.009191013,0.519607843,1.542484,0.738853503,0.117647059
êÁë„ìc,ê_ìcòaêÚí¨,0,1,0,0.003347753,0.542857143,0.160714286,0.460714286,0.078873239,0.017982214,0.114285714,2.060714,0.602816901,0.310714286
êÁë„ìc,î—ìcã¥2,1,0,0,0.012025178,0.421374046,0.183206107,0.458015267,0.079192547,0.010170914,0.789312977,1.908397,0.76552795,0.051908397
êÁë„ìc,êºê_ìc1,0,0,0,0.002390368,0.30952381,0.166666667,0.714285714,0.03030303,0.007854065,0,1.571429,0.696969697,0.119047619
êÁë„ìc,î—ìcã¥1,0,0,0,0.003538015,0.575,0.2,0.408333333,0.053846154,0.026947884,0.141666667,2.1,0.576923077,0.241666667
êÁë„ìc,ê_ìcèxâÕë‰4,4,0,0,0.000248749,0.142857143,0.071428571,0.428571429,0.307692308,0.013254748,0.357142857,2.285714,0.538461538,0.071428571
êÁë„ìc,äOê_ìc1,29,9,0,0.001748795,0.194244604,0.143884892,0.647482014,0.077922078,0.546944944,0.309352518,1.676259,0.720779221,0.165467626
êÁë„ìc,êºê_ìc2,0,0,0,0.008925796,0.149584488,0.202216066,0.459833795,0.062992126,0.029324085,0.609418283,2.074792,0.776902887,0.094182825
êÁë„ìc,ê_ìcèxâÕë‰1,0,0,0,0.000526832,0.157894737,0.184210526,0.842105263,0.111111111,0.008983864,0,1.236842,0.518518519,0.026315789
êÁë„ìc,ê_ìcâéäyí¨1,0,0,0,0.002675921,0.464646465,0.191919192,0.212121212,0.103703704,0.009541415,0.373737374,2.454545,0.666666667,0.191919192
êÁë„ìc,ïxémå©1,0,0,0,0.0032966,0.25,0.212871287,0.524752475,0.043165468,0.002578529,0,1.905941,0.820143885,0.118811881
êÁë„ìc,êºê_ìc3,0,0,0,0.005855678,0.124352332,0.067357513,0.538860104,0.108571429,0.006189422,0.948186528,1.689119,0.788571429,0.020725389
êÁë„ìc,ê_ìcíWòHí¨2,1,0,0,0.002462726,0.528169014,0.26056338,0.605633803,0.091666667,0.014065288,0.478873239,1.647887,0.641666667,0.204225352
êÁë„ìc,ê_ìcê_ï€í¨1,4,1,0,0.005408527,0.580693816,0.230769231,0.472096531,0.099853157,0.115324813,0.435897436,1.939668,0.619676946,0.247360483
êÁë„ìc,ê_ìcç≤ãvä‘í¨1,2,1,0,0.000415929,0.642857143,0.357142857,0.5,0.3125,0.11042912,0,1.857143,0.4375,0.214285714
êÁë„ìc,ê_ìcç≤ãvä‘í¨2,0,0,0,0.002145183,0.820512821,0.358974359,0.282051282,0.112903226,0.039878396,0.128205128,2.384615,0.548387097,0.564102564
êÁë„ìc,ê_ìcç≤ãvä‘í¨3,0,0,0,0.007315695,0.575438596,0.126315789,0.575438596,0.062730627,0.01632555,0.564912281,1.824561,0.619926199,0.18245614
êÁë„ìc,ê_ìcç≤ãvä‘í¨4,0,0,0,0.015695255,0.305699482,0.098445596,0.637305699,0.042105263,0.013255578,0.544041451,1.559585,0.742105263,0.082901554
êÁë„ìc,ê_ìcê_ï€í¨2,5,2,1.686340641,0.006774056,0.31703204,0.178752108,0.667790894,0.057657658,0.094825364,0.536256324,1.576728,0.636036036,0.168634064
êÁë„ìc,ê_ìcê{ìcí¨1,0,0,0,0.002887538,0.452898551,0.213768116,0.612318841,0.051470588,0.018674838,0.326086957,1.644928,0.577205882,0.336956522
êÁë„ìc,ã„íiñk1,2,1,0,0.00514668,0.283516484,0.169230769,0.591208791,0.090047393,0.014851849,0.538461538,1.687912,0.618483412,0.059340659
êÁë„ìc,ê_ìcèxâÕë‰3,3,0,0,0.000786137,0.55,0.2,0.2,0.016393443,0.007920331,0.375,2.525,0.606557377,0.475
êÁë„ìc,ìåê_ìc3,1,0,0,0.011893267,0.243161094,0.085106383,0.656534954,0.032835821,0.004844066,0.416413374,1.696049,0.674626866,0.100303951
êÁë„ìc,ê_ìcê_ï€í¨3,0,0,0,0.002798472,0.538116592,0.152466368,0.506726457,0.06147541,0.013954713,0.403587444,1.883408,0.598360656,0.251121076
êÁë„ìc,ê_ìcç≤ãvä‘âÕä›,4,6,0,0.002242414,0.176470588,0.029411765,0.529411765,0.076923077,0,0.676470588,1.764706,0.641025641,0.088235294
êÁë„ìc,ê_ìcê{ìcí¨2,2,1,0,0.004835368,0.419825073,0.102040816,0.702623907,0.070234114,0.016507917,0.498542274,1.489796,0.642140468,0.113702624
êÁë„ìc,ê_ìcè¨êÏí¨3,0,0,0,0.005263776,0.289325843,0.112359551,0.606741573,0.079320113,0.258590379,0.547752809,1.674157,0.628895184,0.18258427
êÁë„ìc,ê_ìcä‚ñ{í¨,0,1,0,0.002208855,0.696969697,0.242424242,0.333333333,0.263157895,0.023694985,0,2.030303,0.684210526,0.181818182
êÁë„ìc,ä‚ñ{í¨3,0,0,0,0.005089057,0.112359551,0.050561798,0.870786517,0.033707865,0.029948243,0.766853933,1.191011,0.68164794,0.078651685
êÁë„ìc,ìåê_ìc2,0,0,0,0.005450627,0.274576271,0.091525424,0.772881356,0.052419355,0.006374463,0.627118644,1.4,0.649193548,0.142372881
êÁë„ìc,ê_ìcíWòHí¨1,1,0,0,0.004279551,0.594936709,0.265822785,0.582278481,0.011764706,0.028710913,0,1.683544,0.623529412,0.341772152
êÁë„ìc,ã„íiñk2,2,0,0,0.00197974,0.486666667,0.3,0.56,0.095890411,0,0.346666667,1.833333,0.910958904,0.033333333
êÁë„ìc,ã„íiñk3,0,0,0,0.00033968,0.558823529,0.264705882,0.617647059,0.117647059,0,0.323529412,1.676471,0.823529412,0.176470588
êÁë„ìc,ã„íiìÏ1,1,0,0,0.002484681,0.019704433,0.034482759,0.926108374,0,0.002594839,0,1.118227,0.965686275,0.004926108
êÁë„ìc,ê_ìcè¨êÏí¨1,2,1,0,0.002468357,0.575342466,0.273972603,0.534246575,0.0625,0.058192358,0,1.931507,0.515625,0.383561644
êÁë„ìc,ê_ìcè¨êÏí¨2,1,1,0,0.003045841,0.520833333,0.208333333,0.625,0.104166667,0.281423004,0.270833333,1.770833,0.572916667,0.239583333
êÁë„ìc,ìåê_ìc1,0,0,0,0.008609594,0.345323741,0.088129496,0.642086331,0.067542214,0.016615278,0.46942446,1.663669,0.716697936,0.142086331
êÁë„ìc,ê_ìcìåèºâ∫í¨,0,0,0,0.002974631,0.836956522,0.25,0.445652174,0.03960396,0.001034654,0.184782609,2.054348,0.613861386,0.293478261
êÁë„ìc,ã„íiñk4,0,0,0,0.002290272,0.165178571,0.0625,0.558035714,0.047826087,0.011379789,0.285714286,1.8125,0.9,0.017857143
êÁë„ìc,ä‚ñ{í¨2,0,2,0,0.007986936,0.239255014,0.123209169,0.64469914,0.076005961,0.011373946,0.630372493,1.587393,0.673621461,0.154727794
êÁë„ìc,ñkÇÃä€åˆâÄ,1,0,0,0.000912735,0,0,0.605597964,0,0,0,1.890585,0.96993988,0
êÁë„ìc,ê_ìcëΩí¨,0,1,1.851851852,0.018309516,0.225925926,0.088888889,0.737037037,0.044186047,0.026955677,0.8,1.409259,0.651162791,0.107407407
êÁë„ìc,ã„íiìÏ2,0,0,0,0.004732845,0.352331606,0.095854922,0.564766839,0.095367847,0.013941049,0.474093264,1.782383,0.705722071,0.046632124
êÁë„ìc,àÍÉcã¥2,0,0,0,0.000314778,0.2,0.08,0.52,0.064516129,0,0.68,1.8,0.741935484,0.2
êÁë„ìc,ê_ìcéií¨,0,0,0,0.004127574,0.385714286,0.142857143,0.557142857,0.059574468,0.008235493,0.457142857,2,0.612765957,0.257142857
êÁë„ìc,íbñËí¨2,10,2,0,0.000889758,0.677419355,0.387096774,0.435483871,0.093333333,0.037800363,0,2.048387,0.373333333,0.596774194
êÁë„ìc,ê_ìcíbñËí¨,1,0,0,0.00149964,0.724137931,0.275862069,0.448275862,0.033333333,0.055228134,0,2.241379,0.366666667,0.482758621
êÁë„ìc,ê_ìcïxéRí¨,0,0,0,0.002443675,0.818181818,0.151515152,0.484848485,0.088888889,0.009256345,0,1.939394,0.711111111,0.757575758
êÁë„ìc,ê_ìcî¸ìyë„í¨,0,0,0,0.00085024,0.833333333,0.388888889,0.388888889,0.210526316,0,0,1.888889,0.578947368,0.444444444
êÁë„ìc,ê_ìcã—í¨2,1,0,0,0.001550908,0.671428571,0.242857143,0.471428571,0.146341463,0.00779885,0,1.914286,0.573170732,0.5
êÁë„ìc,ê_ìcã—í¨1,1,0,0,0.004499623,0.137168142,0.066371681,0.792035398,0.040229885,0.015191205,0.800884956,1.345133,0.614942529,0.101769912
êÁë„ìc,ä‚ñ{í¨1,0,0,0,0.007092523,0.134185304,0.083067093,0.642172524,0.04587156,0.004124087,0.463258786,1.658147,0.767584098,0.07028754
êÁë„ìc,ê_ìcã—í¨3,2,0,0,0.002133112,0.297674419,0.093023256,0.776744186,0.011428571,0.008840014,0.409302326,1.395349,0.565714286,0.153488372
êÁë„ìc,ê_ìcìåçÆâÆí¨,0,0,0,0.012173636,0.108108108,0.027027027,0.864864865,0.037037037,0,0.72972973,1.378378,0.37037037,0.027027027
êÁë„ìc,ã„íiìÏ3,0,0,0,0.01148636,0.383152174,0.135869565,0.633152174,0.045180723,0.031899619,0.345108696,1.692935,0.641566265,0.086956522
êÁë„ìc,ê_ìcçÆâÆí¨,0,0,0,0.007143818,0.727272727,0.212121212,0.560606061,0.05,0.018184264,0,1.757576,0.45,0.409090909
êÁë„ìc,ì‡ê_ìc3,1,1,6.666666667,0.002746694,0.526666667,0.213333333,0.433333333,0.109195402,0.025452696,0.293333333,2.02,0.557471264,0.346666667
êÁë„ìc,éOî‘í¨,0,0,0,0.005793508,0.53418124,0.168521463,0.37281399,0.136543015,0.001703973,0.461049285,2.190779,0.774269929,0.042130366
êÁë„ìc,ê_ìcñkèÊï®í¨,0,1,0,0.003673856,0.8,0.36,0.36,0.153846154,0.018369281,0,2.32,0.538461538,0.56
êÁë„ìc,ì‡ê_ìc2,1,0,0,0.002201887,0.45890411,0.178082192,0.520547945,0.09039548,0.0385481,0.191780822,1.952055,0.553672316,0.335616438
